"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2022","17,800","17,550","17,800","17,450","289.40K","1.14%"
"05/30/2022","17,600","18,000","18,000","17,450","349.50K","-2.22%"
"05/27/2022","18,000","18,500","18,500","17,550","476.40K","-1.10%"
"05/26/2022","18,200","17,450","18,550","17,400","533.00K","4.90%"
"05/25/2022","17,350","17,000","17,500","16,700","257.90K","2.66%"
"05/24/2022","16,900","16,800","17,000","16,350","195.40K","0.60%"
"05/23/2022","16,800","17,300","17,500","16,600","289.40K","-1.18%"
"05/20/2022","17,000","16,700","17,300","16,350","217.80K","2.72%"
"05/19/2022","16,550","16,800","17,000","16,500","153.20K","-2.65%"
"05/18/2022","17,000","17,550","18,000","17,000","278.90K","-3.13%"
"05/17/2022","17,550","16,600","17,900","16,000","518.50K","3.85%"
"05/16/2022","16,900","17,100","17,400","15,850","736.50K","-0.59%"
"05/13/2022","17,000","16,600","17,300","15,850","477.40K","0.00%"
"05/12/2022","17,000","17,600","17,600","16,300","246.90K","-2.86%"
"05/11/2022","17,500","17,600","17,800","17,100","183.80K","0.57%"
"05/10/2022","17,400","16,900","17,400","16,000","267.40K","4.82%"
"05/09/2022","16,600","17,800","18,200","16,600","185.10K","-6.74%"
"05/06/2022","17,800","17,750","18,350","17,700","143.80K","-3.26%"
"05/05/2022","18,400","18,900","18,900","17,650","213.30K","3.37%"
"05/04/2022","17,800","18,000","18,300","17,800","86.50K","-3.00%"
"04/29/2022","18,350","17,600","18,450","17,600","140.10K","1.94%"
"04/28/2022","18,000","17,400","18,150","17,300","303.20K","4.05%"
"04/27/2022","17,300","16,700","17,300","16,700","128.20K","3.59%"
"04/26/2022","16,700","16,800","16,800","15,100","160.60K","4.05%"
"04/25/2022","16,050","17,750","17,750","16,050","126.70K","-6.41%"
"04/22/2022","17,150","16,600","17,950","16,600","148.30K","0.88%"
"04/21/2022","17,000","16,950","17,650","16,950","314.90K","-6.59%"
"04/20/2022","18,200","19,200","19,250","18,200","180.80K","-6.43%"
"04/19/2022","19,450","20,600","21,000","19,450","162.60K","-5.58%"
"04/18/2022","20,600","21,500","21,500","20,300","220.20K","-5.50%"
"04/15/2022","21,800","22,500","22,900","21,800","173.90K","-2.02%"
"04/14/2022","22,250","21,950","22,250","21,950","217.10K","6.97%"
"04/13/2022","20,800","21,660","21,738","19,862","488.01K","-1.48%"
"04/12/2022","21,113","22,833","23,459","21,113","461.79K","-6.90%"
"04/08/2022","22,677","23,732","24,006","22,677","281.60K","-3.65%"
"04/07/2022","23,537","24,241","24,514","23,537","362.94K","-2.90%"
"04/06/2022","24,241","24,319","24,632","24,241","318.43K","-1.59%"
"04/05/2022","24,632","24,905","24,905","24,514","327.39K","-0.32%"
"04/04/2022","24,710","24,632","25,023","24,632","261.14K","1.61%"
"04/01/2022","24,319","23,693","24,397","23,615","277.77K","2.64%"
"03/31/2022","23,693","23,537","24,123","23,537","215.36K","0.83%"
"03/30/2022","23,498","25,023","25,414","23,498","584.43K","-6.68%"
"03/29/2022","25,179","24,944","25,648","24,944","422.15K","0.94%"
"03/28/2022","24,944","25,492","25,492","24,905","367.41K","-3.34%"
"03/25/2022","25,805","26,743","26,860","25,648","633.54K","-0.30%"
"03/24/2022","25,883","24,397","25,883","24,202","761.30K","6.95%"
"03/23/2022","24,202","23,771","24,241","23,771","329.05K","1.98%"
"03/22/2022","23,732","23,850","24,045","23,732","212.42K","0.16%"
"03/21/2022","23,693","23,693","24,162","23,576","225.84K","0.00%"
"03/18/2022","23,693","24,553","24,553","23,693","216.89K","-1.30%"
"03/17/2022","24,006","24,123","24,632","23,889","210.75K","-0.49%"
"03/16/2022","24,123","23,537","24,632","23,380","374.57K","2.83%"
"03/15/2022","23,459","23,302","23,850","23,302","372.14K","0.17%"
"03/14/2022","23,420","23,498","23,693","22,677","201.16K","-1.96%"
"03/11/2022","23,889","23,459","24,592","23,302","482.00K","2.35%"
"03/10/2022","23,341","23,068","23,732","23,068","114.97K","1.70%"
"03/09/2022","22,950","23,459","23,459","22,677","282.50K","-1.84%"
"03/08/2022","23,380","23,732","23,732","23,380","393.25K","-1.48%"
"03/07/2022","23,732","23,850","24,045","23,654","315.49K","-1.14%"
"03/04/2022","24,006","24,084","24,162","23,850","337.74K","0.00%"
"03/03/2022","24,006","23,537","24,006","23,537","344.39K","1.99%"
"03/02/2022","23,537","23,615","23,771","23,380","358.72K","-0.33%"
"03/01/2022","23,615","23,693","24,006","23,302","545.17K","-0.33%"
"02/28/2022","23,693","24,241","24,241","23,537","690.45K","-2.26%"
"02/25/2022","24,241","23,928","24,241","23,771","689.68K","1.64%"
"02/24/2022","23,850","24,632","24,749","23,068","936.37K","-3.63%"
"02/23/2022","24,749","24,788","25,140","24,710","508.85K","0.32%"
"02/22/2022","24,671","25,179","25,374","24,553","452.20K","-2.32%"
"02/21/2022","25,257","25,023","25,570","24,944","463.58K","0.00%"
"02/18/2022","25,257","24,944","25,374","24,866","432.89K","1.41%"
"02/17/2022","24,905","24,905","25,335","24,710","455.01K","0.00%"
"02/16/2022","24,905","24,788","25,218","24,671","449.00K","0.79%"
"02/15/2022","24,710","24,944","25,414","24,241","365.24K","-0.31%"
"02/14/2022","24,788","25,609","25,805","24,788","475.86K","-3.65%"
"02/11/2022","25,726","25,726","26,586","25,335","606.30K","-0.31%"
"02/10/2022","25,805","25,414","26,195","25,335","537.50K","0.00%"
"02/09/2022","25,805","25,062","25,961","25,023","904.40K","3.94%"
"02/08/2022","24,827","23,224","24,827","23,224","597.73K","6.90%"
"02/07/2022","23,224","23,068","23,693","22,833","500.92K","2.24%"
"01/28/2022","22,716","22,716","23,146","22,442","540.57K","0.00%"
"01/27/2022","22,716","23,224","23,459","22,677","388.26K","-1.53%"
"01/26/2022","23,068","22,677","23,459","22,364","444.78K","2.08%"
"01/25/2022","22,598","22,442","22,677","21,777","390.82K","0.70%"
"01/24/2022","22,442","23,693","23,693","22,442","353.73K","-4.65%"
"01/21/2022","23,537","24,475","24,475","23,537","407.31K","-2.90%"
"01/20/2022","24,241","23,420","24,241","23,380","678.94K","3.51%"
"01/19/2022","23,420","23,068","24,475","22,677","571.90K","-0.17%"
"01/18/2022","23,459","25,179","25,414","23,459","610.91K","-6.83%"
"01/17/2022","25,179","26,977","27,368","25,179","617.56K","-6.39%"
"01/14/2022","26,899","26,195","28,229","25,023","648.25K","1.92%"
"01/13/2022","26,391","27,838","28,541","26,391","694.29K","-4.93%"
"01/12/2022","27,759","27,838","28,932","27,095","737.51K","0.00%"
"01/11/2022","27,759","28,385","29,323","27,642","772.42K","-2.21%"
"01/10/2022","28,385","29,323","29,714","28,229","949.93K","-3.46%"
"01/07/2022","29,402","29,792","30,027","29,402","475.09K","-2.08%"
"01/06/2022","30,027","29,792","30,183","29,558","483.28K","0.26%"
"01/05/2022","29,949","30,653","30,653","29,949","586.74K","-2.42%"
"01/04/2022","30,692","31,278","31,278","30,535","527.91K","-1.87%"
"12/31/2021","31,278","30,496","31,278","30,027","619.86K","2.56%"
"12/30/2021","30,496","29,949","30,496","29,323","535.71K","1.56%"
"12/29/2021","30,027","30,105","30,262","29,714","476.88K","0.00%"
"12/28/2021","30,027","29,558","30,262","29,206","605.02K","3.50%"
"12/27/2021","29,011","28,737","29,323","28,737","240.81K","0.54%"
"12/24/2021","28,854","29,402","29,714","28,854","388.90K","-1.60%"
"12/23/2021","29,323","30,027","30,105","28,541","344.65K","-2.34%"
"12/22/2021","30,027","30,614","30,614","29,323","242.47K","0.00%"
"12/21/2021","30,027","28,463","30,340","28,307","613.21K","4.92%"
"12/20/2021","28,620","28,854","29,714","28,580","413.84K","-1.21%"
"12/17/2021","28,971","29,089","29,323","28,854","405.91K","-0.67%"
"12/16/2021","29,167","29,441","30,183","29,167","269.33K","-0.93%"
"12/15/2021","29,441","29,714","29,871","29,402","305.90K","-0.13%"
"12/14/2021","29,480","29,832","30,027","28,893","305.64K","-1.18%"
"12/13/2021","29,832","30,105","30,183","29,245","427.39K","0.40%"
"12/10/2021","29,714","29,441","29,714","29,167","329.69K","0.53%"
"12/09/2021","29,558","28,932","29,714","28,620","445.55K","2.16%"
"12/08/2021","28,932","29,089","29,323","28,541","264.08K","0.00%"
"12/07/2021","28,932","28,268","29,245","28,150","356.41K","4.23%"
"12/06/2021","27,759","29,050","30,457","27,408","803.88K","-5.59%"
"12/03/2021","29,402","31,278","31,826","29,402","699.66K","-6.00%"
"12/02/2021","31,278","31,747","31,826","31,122","332.24K","0.00%"
"12/01/2021","31,278","31,513","32,060","30,887","548.37K","-1.23%"
"11/30/2021","31,669","31,747","32,451","31,435","431.99K","0.74%"
"11/29/2021","31,435","30,887","31,513","30,887","584.82K","-1.71%"
"11/26/2021","31,982","32,608","33,194","31,982","833.94K","-2.15%"
"11/25/2021","32,686","33,233","33,233","32,451","544.79K","-0.95%"
"11/24/2021","32,999","32,842","33,624","32,842","318.94K","1.69%"
"11/23/2021","32,451","31,278","33,155","31,200","844.68K","2.09%"
"11/22/2021","31,786","34,367","34,953","31,747","1.26M","-6.87%"
"11/19/2021","34,132","35,657","36,752","33,624","1.14M","-4.28%"
"11/18/2021","35,657","34,797","36,283","34,641","1.17M","2.47%"
"11/17/2021","34,797","34,562","35,344","34,562","638.91K","-0.22%"
"11/16/2021","34,875","35,579","35,579","34,406","720.12K","-1.98%"
"11/15/2021","35,579","34,562","36,361","34,406","1.35M","1.56%"
"11/12/2021","35,032","35,188","36,205","34,406","881.51K","-0.44%"
"11/11/2021","35,188","35,188","35,931","34,367","1.40M","3.57%"
"11/10/2021","33,976","31,669","33,976","31,669","2.13M","6.89%"
"11/09/2021","31,786","32,334","32,608","31,708","721.14K","-1.69%"
"11/08/2021","32,334","32,920","33,155","32,138","662.83K","0.12%"
"11/05/2021","32,295","31,122","32,686","31,122","503.74K","3.77%"
"11/04/2021","31,122","31,278","31,552","30,574","753.37K","-0.50%"
"11/03/2021","31,278","32,920","32,920","31,200","1.84M","-4.99%"
"11/02/2021","32,920","33,077","33,311","32,373","1.09M","-0.47%"
"11/01/2021","33,077","33,389","34,015","32,842","1.38M","-0.59%"
"10/29/2021","33,272","33,077","33,937","32,412","1.37M","2.65%"
"10/28/2021","32,412","30,379","32,412","30,379","1.72M","6.97%"
"10/27/2021","30,301","30,183","30,574","30,066","1.18M","0.65%"
"10/26/2021","30,105","30,105","30,183","29,636","652.85K","0.00%"
"10/25/2021","30,105","29,949","30,653","29,871","1.02M","0.92%"
"10/22/2021","29,832","29,558","29,949","29,323","843.53K","0.93%"
"10/21/2021","29,558","29,832","29,832","29,128","649.14K","0.00%"
"10/20/2021","29,558","30,027","30,262","29,245","786.36K","-1.31%"
"10/19/2021","29,949","30,340","30,809","29,832","1.18M","-1.79%"
"10/18/2021","30,496","30,887","31,278","30,105","1.50M","1.30%"
"10/15/2021","30,105","29,402","30,105","29,245","1.45M","3.35%"
"10/14/2021","29,128","29,128","29,480","29,011","901.71K","0.00%"
"10/13/2021","29,128","28,932","29,480","28,932","493.76K","0.40%"
"10/12/2021","29,011","29,714","29,988","28,932","643.52K","-2.11%"
"10/11/2021","29,636","29,949","30,262","29,323","569.85K","-0.26%"
"10/08/2021","29,714","29,714","30,027","28,932","467.93K","0.00%"
"10/07/2021","29,714","29,871","29,949","29,167","498.24K","0.00%"
"10/06/2021","29,714","29,323","29,949","29,323","953.89K","1.47%"
"10/05/2021","29,284","29,402","29,480","28,932","767.44K","-0.40%"
"10/04/2021","29,402","29,323","29,949","28,620","574.97K","0.27%"
"10/01/2021","29,323","28,932","30,262","28,502","671.27K","0.53%"
"09/30/2021","29,167","28,776","30,105","28,424","957.73K","1.50%"
"09/29/2021","28,737","29,011","29,167","28,072","569.34K","-2.26%"
"09/28/2021","29,402","29,011","29,636","28,229","513.46K","-0.53%"
"09/27/2021","29,558","31,200","31,239","29,558","487.75K","-5.03%"
"09/24/2021","31,122","31,669","32,138","30,496","1.12M","0.63%"
"09/23/2021","30,926","29,011","30,926","29,011","1.04M","6.89%"
"09/22/2021","28,932","28,932","28,932","28,541","429.95K","0.27%"
"09/21/2021","28,854","28,854","29,089","28,541","433.79K","-0.81%"
"09/20/2021","29,089","28,776","29,323","28,463","502.59K","0.54%"
"09/17/2021","28,932","28,932","29,480","28,932","500.16K","0.00%"
"09/16/2021","28,932","28,737","28,932","28,229","508.60K","0.00%"
"09/15/2021","28,932","29,284","29,519","28,229","446.32K","-1.07%"
"09/14/2021","29,245","29,636","29,636","28,776","638.66K","-1.32%"
"09/13/2021","29,636","30,731","30,887","29,558","449.00K","-3.32%"
"09/10/2021","30,653","30,496","31,122","29,949","674.08K","0.77%"
"09/09/2021","30,418","29,714","30,574","29,714","530.21K","1.83%"
"09/08/2021","29,871","30,496","30,887","29,402","490.05K","-2.80%"
"09/07/2021","30,731","31,826","31,904","30,731","667.17K","-3.44%"
"09/06/2021","31,826","31,904","32,021","31,200","604.77K","0.13%"
"09/01/2021","31,786","32,060","32,060","31,044","577.02K","-0.73%"
"08/31/2021","32,021","30,809","32,060","30,770","845.32K","4.33%"
"08/30/2021","30,692","30,692","30,887","29,714","586.48K","0.13%"
"08/27/2021","30,653","29,714","30,887","29,636","561.80K","5.52%"
"08/26/2021","29,050","27,290","29,050","27,290","531.87K","6.91%"
"08/25/2021","27,173","28,932","28,971","26,977","519.21K","-6.08%"
"08/24/2021","28,932","30,887","31,005","28,620","623.82K","-5.61%"
"08/23/2021","30,653","30,887","31,356","30,183","747.23K","-0.76%"
"08/20/2021","30,887","31,044","32,060","30,340","753.37K","-0.51%"
"08/19/2021","31,044","30,574","31,669","30,574","760.15K","-3.17%"
"08/18/2021","32,060","32,842","32,842","32,060","678.43K","-2.61%"
"08/17/2021","32,920","33,468","33,468","32,608","545.81K","-1.40%"
"08/16/2021","33,389","33,233","33,859","33,116","665.90K","1.67%"
"08/13/2021","32,842","32,451","32,920","32,451","745.95K","1.20%"
"08/12/2021","32,451","32,842","33,077","32,412","376.75K","-0.96%"
"08/11/2021","32,764","33,077","33,155","32,217","458.85K","-0.47%"
"08/10/2021","32,920","32,842","33,233","32,451","475.48K","0.24%"
"08/09/2021","32,842","33,233","33,233","32,451","443.25K","-0.71%"
"08/06/2021","33,077","32,764","33,389","32,764","566.27K","1.20%"
"08/05/2021","32,686","32,803","32,803","32,412","378.54K","-0.36%"
"08/04/2021","32,803","32,295","33,038","32,295","311.27K","0.00%"
"08/03/2021","32,803","34,328","34,328","32,060","348.10K","-4.44%"
"08/02/2021","34,328","34,914","34,914","33,624","383.40K","-2.23%"
"07/30/2021","35,110","35,266","35,501","34,406","452.46K","-0.33%"
"07/29/2021","35,227","34,015","35,423","32,842","434.42K","3.56%"
"07/28/2021","34,015","35,501","35,501","33,624","347.46K","-4.19%"
"07/27/2021","35,501","37,143","37,143","35,501","377.13K","-5.42%"
"07/26/2021","37,534","38,550","38,707","36,986","311.02K","-3.81%"
"07/23/2021","39,020","40,662","40,662","39,020","267.15K","-3.67%"
"07/22/2021","40,505","39,645","40,818","39,411","395.68K","1.97%"
"07/21/2021","39,723","38,629","39,723","38,316","371.51K","2.83%"
"07/20/2021","38,629","37,925","38,707","37,143","397.34K","4.00%"
"07/19/2021","37,143","39,098","39,489","37,143","262.04K","-6.86%"
"07/16/2021","39,880","40,427","40,662","39,489","304.88K","-0.78%"
"07/15/2021","40,192","39,332","40,192","39,254","301.94K","1.78%"
"07/14/2021","39,489","39,411","39,567","38,707","246.05K","0.40%"
"07/13/2021","39,332","37,143","39,880","37,143","276.36K","1.00%"
"07/12/2021","38,941","41,756","41,756","38,941","284.67K","-6.92%"
"07/09/2021","41,835","42,226","42,538","41,600","336.59K","-0.93%"
"07/08/2021","42,226","43,555","43,789","41,444","234.92K","-3.05%"
"07/07/2021","43,555","43,399","43,711","42,695","271.88K","-0.53%"
"07/06/2021","43,789","43,555","44,337","43,399","275.34K","0.90%"
"07/05/2021","43,399","43,789","43,789","41,444","348.74K","-1.07%"
"07/02/2021","43,868","44,102","44,102","43,633","228.91K","-0.71%"
"07/01/2021","44,180","44,571","44,571","43,946","395.55K","-0.70%"
