"Date","Price","Open","High","Low","Vol.","Change %"
"02/25/2022","58,261.0","57,826.0","59,217.0","57,826.0","1.65M","0.00%"
"02/24/2022","58,261.0","58,087.0","59,391.0","56,957.0","867.33K","-0.30%"
"02/23/2022","58,435.0","58,261.0","58,696.0","57,304.0","1.30M","0.30%"
"02/22/2022","58,261.0","58,870.0","58,870.0","57,739.0","488.06K","-1.32%"
"02/21/2022","59,043.0","59,043.0","59,304.0","58,696.0","799.25K","0.29%"
"02/18/2022","58,870.0","58,261.0","59,739.0","58,174.0","1.02M","0.59%"
"02/17/2022","58,522.0","58,000.0","59,043.0","57,217.0","722.78K","-0.44%"
"02/16/2022","58,783.0","59,304.0","59,391.0","58,087.0","888.72K","-2.03%"
"02/15/2022","60,000.0","59,652.0","60,261.0","58,957.0","867.91K","-0.29%"
"02/14/2022","60,174.0","59,043.0","60,435.0","58,696.0","568.56K","-0.14%"
"02/11/2022","60,261.0","59,913.0","61,739.0","59,043.0","1.73M","0.44%"
"02/10/2022","60,000.0","58,261.0","60,435.0","57,826.0","1.33M","1.62%"
"02/09/2022","59,043.0","58,522.0","59,826.0","58,087.0","718.87K","-0.15%"
"02/08/2022","59,130.0","59,043.0","59,826.0","58,261.0","604.21K","0.29%"
"02/07/2022","58,957.0","58,087.0","59,130.0","56,783.0","688.39K","2.73%"
"01/28/2022","57,391.0","53,217.0","57,391.0","53,217.0","698.05K","6.62%"
"01/27/2022","53,826.0","53,913.0","54,783.0","53,043.0","305.10K","-1.75%"
"01/26/2022","54,783.0","53,826.0","55,217.0","49,652.0","724.50K","2.77%"
"01/25/2022","53,304.0","53,913.0","55,826.0","53,304.0","351.79K","-1.92%"
"01/24/2022","54,348.0","54,696.0","55,478.0","53,913.0","194.24K","-0.79%"
"01/21/2022","54,783.0","55,652.0","56,435.0","54,696.0","345.00K","-2.78%"
"01/20/2022","56,348.0","56,087.0","56,522.0","54,783.0","813.86K","-0.31%"
"01/19/2022","56,522.0","53,478.0","57,391.0","53,217.0","690.00K","3.17%"
"01/18/2022","54,783.0","53,913.0","54,783.0","50,870.0","790.74K","0.16%"
"01/17/2022","54,696.0","54,348.0","55,304.0","53,043.0","731.40K","-1.56%"
"01/14/2022","55,565.0","55,478.0","55,913.0","54,261.0","549.82K","-0.16%"
"01/13/2022","55,652.0","55,217.0","56,348.0","54,696.0","1.00M","-0.78%"
"01/12/2022","56,087.0","55,913.0","56,348.0","53,913.0","928.17K","-0.77%"
"01/11/2022","56,522.0","55,913.0","56,522.0","54,696.0","1.38M","0.00%"
"01/10/2022","56,522.0","56,522.0","56,522.0","54,609.0","1.17M","0.00%"
"01/07/2022","56,522.0","56,783.0","57,043.0","55,652.0","774.18K","-0.76%"
"01/06/2022","56,957.0","57,217.0","57,217.0","56,261.0","589.72K","-0.61%"
"01/05/2022","57,304.0","57,478.0","57,478.0","56,435.0","917.01K","-0.15%"
"01/04/2022","57,391.0","56,783.0","57,391.0","56,348.0","788.44K","1.23%"
"12/31/2021","56,696.0","56,522.0","57,652.0","56,261.0","443.33K","-1.21%"
"12/30/2021","57,391.0","57,739.0","57,913.0","56,522.0","530.96K","-0.75%"
"12/29/2021","57,826.0","57,565.0","58,783.0","56,957.0","743.25K","-0.60%"
"12/28/2021","58,174.0","58,870.0","59,130.0","57,391.0","758.43K","-1.62%"
"12/27/2021","59,130.0","59,043.0","59,130.0","57,304.0","845.25K","0.00%"
"12/24/2021","59,130.0","58,696.0","59,826.0","57,478.0","322.00K","-0.59%"
"12/23/2021","59,478.0","58,609.0","60,696.0","56,522.0","813.51K","-0.15%"
"12/22/2021","59,565.0","60,870.0","61,652.0","58,261.0","1.34M","-2.14%"
"12/21/2021","60,870.0","61,478.0","62,522.0","60,348.0","822.25K","-2.78%"
"12/20/2021","62,609.0","62,870.0","64,348.0","61,826.0","331.09K","-2.04%"
"12/17/2021","63,913.0","63,913.0","65,130.0","61,913.0","793.39K","-0.68%"
"12/16/2021","64,348.0","61,739.0","66,783.0","61,739.0","1.48M","3.06%"
"12/15/2021","62,435.0","62,348.0","62,783.0","60,957.0","484.73K","-0.14%"
"12/14/2021","62,522.0","62,348.0","62,783.0","60,957.0","1.00M","1.27%"
"12/13/2021","61,739.0","62,261.0","63,478.0","60,870.0","559.36K","0.00%"
"12/10/2021","61,739.0","63,130.0","63,304.0","60,957.0","577.19K","-2.20%"
"12/09/2021","63,130.0","63,391.0","63,652.0","61,652.0","455.86K","-0.41%"
"12/08/2021","63,391.0","62,609.0","65,130.0","62,174.0","741.64K","0.00%"
"12/07/2021","63,391.0","60,870.0","64,348.0","57,826.0","1.14M","4.74%"
"12/06/2021","60,522.0","64,348.0","64,783.0","60,522.0","454.60K","-6.95%"
"12/03/2021","65,043.0","63,565.0","65,043.0","62,696.0","1.02M","2.47%"
"12/02/2021","63,478.0","65,217.0","66,000.0","63,478.0","801.67K","-2.67%"
"12/01/2021","65,217.0","65,478.0","66,522.0","64,261.0","511.06K","-1.32%"
"11/30/2021","66,087.0","64,783.0","67,217.0","63,217.0","1.54M","1.33%"
"11/29/2021","65,217.0","65,652.0","68,174.0","64,696.0","1.08M","-5.66%"
"11/26/2021","69,130.0","69,565.0","71,043.0","68,522.0","894.24K","-1.85%"
"11/25/2021","70,435.0","69,217.0","71,565.0","69,130.0","1.01M","-0.25%"
"11/24/2021","70,609.0","71,304.0","71,304.0","69,565.0","544.76K","-1.10%"
"11/23/2021","71,391.0","71,304.0","71,652.0","68,696.0","1.34M","0.00%"
"11/22/2021","71,391.0","71,304.0","71,739.0","68,696.0","1.68M","0.49%"
"11/19/2021","71,043.0","68,174.0","72,087.0","67,391.0","1.93M","2.25%"
"11/18/2021","69,478.0","69,826.0","70,174.0","67,826.0","1.04M","-0.62%"
"11/17/2021","69,913.0","66,087.0","70,348.0","65,391.0","2.45M","5.51%"
"11/16/2021","66,261.0","66,261.0","67,130.0","65,130.0","815.81K","-1.29%"
"11/15/2021","67,130.0","68,261.0","68,261.0","66,087.0","852.73K","-1.03%"
"11/12/2021","67,826.0","66,348.0","68,261.0","66,087.0","1.55M","0.13%"
"11/11/2021","67,739.0","68,957.0","68,957.0","66,087.0","1.58M","-0.13%"
"11/10/2021","67,826.0","67,043.0","68,609.0","67,043.0","698.28K","-0.38%"
"11/09/2021","68,087.0","67,652.0","68,696.0","67,478.0","765.10K","-0.89%"
"11/08/2021","68,696.0","69,565.0","69,565.0","67,652.0","1.07M","-1.50%"
"11/05/2021","69,739.0","64,435.0","69,739.0","64,261.0","2.12M","6.93%"
"11/04/2021","65,217.0","64,522.0","66,696.0","63,913.0","1.56M","-2.60%"
"11/03/2021","66,957.0","67,565.0","67,652.0","63,913.0","1.39M","-1.03%"
"11/02/2021","67,652.0","67,391.0","68,609.0","65,652.0","1.50M","-0.26%"
"11/01/2021","67,826.0","67,478.0","69,391.0","66,696.0","1.67M","0.52%"
"10/29/2021","67,478.0","66,087.0","67,826.0","65,652.0","2.34M","1.84%"
"10/28/2021","66,261.0","66,957.0","66,957.0","65,130.0","1.67M","-0.13%"
"10/27/2021","66,348.0","64,348.0","66,348.0","64,348.0","1.84M","1.73%"
"10/26/2021","65,217.0","65,217.0","66,087.0","63,913.0","1.11M","-0.66%"
"10/25/2021","65,652.0","64,348.0","66,348.0","63,913.0","1.35M","0.67%"
"10/22/2021","65,217.0","65,217.0","65,913.0","63,478.0","1.25M","-0.79%"
