"Date","Price","Open","High","Low","Vol.","Change %"
"06/09/2022","15,750.00","15,200.00","16,100.00","14,950.00","2.90M","3.62%"
"06/08/2022","15,200.00","14,750.00","15,250.00","14,700.00","2.30M","3.05%"
"06/07/2022","14,750.00","14,500.00","14,800.00","14,150.00","2.30M","1.72%"
"06/06/2022","14,500.00","15,450.00","15,500.00","14,500.00","3.51M","-6.15%"
"06/03/2022","15,450.00","15,750.00","15,900.00","15,450.00","2.75M","-1.90%"
"06/02/2022","15,750.00","16,300.00","16,300.00","15,700.00","1.99M","-2.78%"
"06/01/2022","16,200.00","16,000.00","16,350.00","15,900.00","2.14M","1.89%"
"05/31/2022","15,900.00","16,300.00","16,400.00","15,900.00","5.05M","-2.75%"
"05/30/2022","16,350.00","16,450.00","16,600.00","16,050.00","4.20M","-0.61%"
"05/27/2022","16,450.00","16,600.00","17,050.00","16,200.00","3.23M","0.00%"
"05/26/2022","16,450.00","16,000.00","16,450.00","15,900.00","4.77M","6.82%"
"05/25/2022","15,400.00","14,450.00","15,400.00","14,300.00","3.70M","6.94%"
"05/24/2022","14,400.00","14,400.00","14,500.00","13,700.00","2.01M","0.00%"
"05/23/2022","14,400.00","14,600.00","14,850.00","14,000.00","2.07M","0.00%"
"05/20/2022","14,400.00","14,250.00","14,600.00","14,100.00","2.44M","1.41%"
"05/19/2022","14,200.00","13,700.00","14,450.00","13,700.00","3.22M","-1.39%"
"05/18/2022","14,400.00","14,300.00","14,650.00","14,000.00","3.25M","3.23%"
"05/17/2022","13,950.00","13,050.00","13,950.00","12,950.00","5.81M","6.90%"
"05/16/2022","13,050.00","14,400.00","14,700.00","13,050.00","4.26M","-6.79%"
"05/13/2022","14,000.00","15,000.00","15,300.00","14,000.00","4.35M","-6.98%"
"05/12/2022","15,050.00","16,150.00","16,300.00","15,050.00","2.76M","-6.81%"
"05/11/2022","16,150.00","16,100.00","16,500.00","15,850.00","3.42M","0.94%"
"05/10/2022","16,000.00","14,800.00","16,000.00","14,750.00","4.03M","1.27%"
"05/09/2022","15,800.00","16,850.00","16,850.00","15,800.00","2.56M","-6.78%"
"05/06/2022","16,950.00","17,750.00","18,000.00","16,950.00","3.41M","-6.87%"
"05/05/2022","18,200.00","18,800.00","19,200.00","17,950.00","4.42M","-2.41%"
"05/04/2022","18,650.00","19,000.00","19,300.00","18,550.00","3.77M","-1.58%"
"04/29/2022","18,950.00","18,500.00","19,400.00","18,450.00","5.90M","2.99%"
"04/28/2022","18,400.00","18,550.00","19,250.00","18,150.00","4.46M","-0.81%"
