"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2022","18,150.00","18,150.00","18,200.00","17,800.00","1.80M","1.40%"
"07/28/2022","17,900.00","17,750.00","18,100.00","17,550.00","3.32M","1.99%"
"07/27/2022","17,550.00","17,450.00","17,550.00","17,250.00","927.20K","0.29%"
"07/26/2022","17,500.00","17,600.00","17,600.00","17,450.00","570.00K","-0.57%"
"07/25/2022","17,600.00","17,550.00","17,700.00","17,400.00","689.90K","0.00%"
"07/22/2022","17,600.00","17,450.00","17,700.00","17,400.00","1.15M","0.86%"
"07/21/2022","17,450.00","17,500.00","17,800.00","17,300.00","1.09M","-0.29%"
"07/20/2022","17,500.00","17,450.00","17,700.00","17,350.00","1.10M","1.45%"
"07/19/2022","17,250.00","17,350.00","17,400.00","17,100.00","648.70K","-0.86%"
"07/18/2022","17,400.00","17,600.00","17,750.00","17,300.00","1.08M","-0.29%"
"07/15/2022","17,450.00","17,700.00","17,750.00","17,400.00","1.04M","-1.69%"
"07/14/2022","17,750.00","17,500.00","17,750.00","17,450.00","729.60K","0.00%"
"07/13/2022","17,750.00","17,100.00","17,900.00","17,100.00","1.81M","3.80%"
"07/12/2022","17,100.00","16,900.00","17,300.00","16,900.00","1.24M","2.09%"
"07/11/2022","16,750.00","16,500.00","16,950.00","16,500.00","1.64M","1.52%"
"07/08/2022","16,500.00","16,900.00","16,900.00","16,500.00","1.02M","-0.60%"
"07/07/2022","16,600.00","16,550.00","16,750.00","16,400.00","649.30K","0.30%"
"07/06/2022","16,550.00","16,650.00","17,000.00","16,550.00","546.20K","-3.22%"
"07/05/2022","17,100.00","17,150.00","17,300.00","16,800.00","1.23M","0.29%"
"07/04/2022","17,050.00","17,100.00","17,300.00","16,950.00","674.90K","0.00%"
"07/01/2022","17,050.00","16,650.00","17,050.00","16,350.00","1.16M","1.49%"
"06/30/2022","16,800.00","17,450.00","17,800.00","16,800.00","1.15M","-3.72%"
"06/29/2022","17,450.00","16,900.00","17,700.00","16,900.00","1.01M","0.87%"
"06/28/2022","17,300.00","16,700.00","17,350.00","16,700.00","1.94M","4.22%"
"06/27/2022","16,600.00","16,700.00","16,850.00","16,500.00","651.10K","0.00%"
"06/24/2022","16,600.00","16,800.00","17,100.00","16,350.00","1.24M","-1.19%"
"06/23/2022","16,800.00","16,500.00","16,800.00","16,300.00","824.20K","1.82%"
"06/22/2022","16,500.00","16,300.00","16,800.00","15,950.00","1.14M","2.48%"
"06/21/2022","16,100.00","16,150.00","16,300.00","15,800.00","838.50K","-0.31%"
"06/20/2022","16,150.00","15,800.00","16,200.00","15,500.00","2.32M","0.00%"
"06/17/2022","16,150.00","16,500.00","16,600.00","15,800.00","2.73M","-4.44%"
"06/16/2022","16,900.00","17,250.00","17,400.00","16,800.00","930.90K","-0.59%"
"06/15/2022","17,000.00","17,400.00","17,600.00","16,500.00","1.96M","-2.58%"
"06/14/2022","17,450.00","17,100.00","17,850.00","17,100.00","1.07M","-0.85%"
"06/13/2022","17,600.00","18,500.00","18,600.00","17,600.00","2.47M","-6.88%"
"06/10/2022","18,900.00","19,350.00","19,450.00","18,850.00","1.11M","-3.32%"
"06/09/2022","19,550.00","19,600.00","19,750.00","19,200.00","689.30K","-0.26%"
"06/08/2022","19,600.00","18,900.00","19,850.00","18,900.00","1.36M","2.62%"
"06/07/2022","19,100.00","19,250.00","19,300.00","18,200.00","1.34M","-0.78%"
"06/06/2022","19,250.00","19,450.00","19,600.00","19,250.00","1.17M","-1.28%"
"06/03/2022","19,500.00","19,750.00","19,850.00","19,450.00","840.50K","-1.02%"
"06/02/2022","19,700.00","20,000.00","20,300.00","19,600.00","1.01M","-1.50%"
"06/01/2022","20,000.00","20,050.00","20,250.00","19,900.00","1.08M","0.50%"
"05/31/2022","19,900.00","20,300.00","20,300.00","19,900.00","1.25M","-2.21%"
"05/30/2022","20,350.00","20,500.00","20,500.00","20,050.00","1.22M","0.25%"
"05/27/2022","20,300.00","20,100.00","20,300.00","20,000.00","1.53M","0.74%"
"05/26/2022","20,150.00","20,400.00","20,500.00","19,850.00","1.45M","-1.23%"
"05/25/2022","20,400.00","20,400.00","20,450.00","19,950.00","1.65M","1.49%"
"05/24/2022","20,100.00","20,000.00","20,100.00","19,300.00","1.24M","0.50%"
"05/23/2022","20,000.00","20,400.00","20,500.00","19,500.00","1.23M","-1.48%"
"05/20/2022","20,300.00","20,150.00","20,400.00","19,900.00","1.71M","0.50%"
"05/19/2022","20,200.00","18,000.00","20,200.00","18,000.00","2.79M","6.60%"
"05/18/2022","18,950.00","18,750.00","19,500.00","18,500.00","1.64M","2.43%"
"05/17/2022","18,500.00","17,200.00","18,500.00","17,000.00","1.51M","6.94%"
"05/16/2022","17,300.00","17,450.00","18,100.00","17,200.00","2.01M","0.00%"
"05/13/2022","17,300.00","18,550.00","18,550.00","17,300.00","4.03M","-6.74%"
"05/12/2022","18,550.00","19,900.00","19,900.00","18,550.00","2.30M","-6.78%"
"05/11/2022","19,900.00","20,100.00","20,150.00","19,600.00","1.16M","0.51%"
"05/10/2022","19,800.00","19,250.00","20,150.00","19,250.00","1.51M","-4.12%"
"05/09/2022","20,650.00","22,000.00","22,250.00","20,650.00","2.28M","-6.98%"
"05/06/2022","22,200.00","22,900.00","23,000.00","22,200.00","894.30K","-6.13%"
"05/05/2022","23,650.00","23,200.00","23,650.00","22,200.00","1.35M","2.60%"
"05/04/2022","23,050.00","23,200.00","23,350.00","23,000.00","1.21M","-3.56%"
"04/29/2022","23,900.00","22,500.00","23,900.00","22,500.00","3.93M","3.91%"
"04/28/2022","23,000.00","22,350.00","23,000.00","22,200.00","1.67M","1.77%"
