"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","79,262.3","79,508.2","80,819.7","77,868.8","3.91M","0.73%"
"12/30/2021","78,688.5","79,508.2","81,967.2","77,868.8","4.23M","-1.03%"
"12/29/2021","79,508.2","84,426.2","85,655.7","78,524.6","6.05M","-4.43%"
"12/28/2021","83,196.7","81,721.3","83,852.4","79,426.2","6.34M","5.40%"
"12/27/2021","78,934.4","74,590.1","78,934.4","73,360.6","5.10M","7.00%"
"12/24/2021","73,770.5","71,475.4","76,393.4","71,475.4","5.06M","0.45%"
"12/23/2021","73,442.6","79,016.4","79,098.3","73,442.6","12.45M","-6.96%"
"12/22/2021","78,934.4","80,327.8","81,147.5","77,950.8","5.80M","3.55%"
"12/21/2021","76,229.5","70,901.6","76,229.5","69,672.1","7.73M","6.90%"
"12/20/2021","71,311.5","74,590.1","74,672.1","69,672.1","8.83M","-4.40%"
"12/17/2021","74,590.1","74,426.2","76,229.5","71,311.5","10.87M","4.36%"
"12/16/2021","71,475.4","67,541.0","71,475.4","66,803.3","7.60M","6.99%"
"12/15/2021","66,803.3","67,213.1","67,213.1","65,163.9","6.90M","4.62%"
"12/14/2021","63,852.4","60,819.7","63,934.4","60,819.7","6.29M","6.42%"
"12/13/2021","60,000.0","56,147.5","60,000.0","55,737.7","11.03M","6.86%"
"12/10/2021","56,147.5","57,377.0","58,196.7","55,901.6","5.53M","-1.30%"
"12/09/2021","56,885.2","55,983.6","57,295.1","55,983.6","4.04M","1.61%"
"12/08/2021","55,983.6","55,983.6","58,606.5","54,590.2","7.86M","0.44%"
"12/07/2021","55,737.7","53,852.4","56,147.5","51,639.3","5.14M","5.59%"
"12/06/2021","52,786.9","54,426.2","55,245.9","50,655.7","7.03M","-0.92%"
"12/03/2021","53,278.7","56,803.3","58,524.6","53,278.7","6.80M","-4.83%"
"12/02/2021","55,983.6","54,918.0","56,967.2","53,852.4","5.86M","4.43%"
"12/01/2021","53,606.5","55,655.7","55,655.7","53,442.6","7.60M","-4.53%"
"11/30/2021","56,147.5","57,622.9","59,016.4","54,672.1","11.43M","-2.28%"
"11/29/2021","57,459.0","56,557.4","58,852.4","55,819.7","5.88M","0.29%"
"11/26/2021","57,295.1","59,180.3","59,180.3","55,737.7","10.74M","3.56%"
"11/25/2021","55,327.9","52,541.0","55,327.9","52,541.0","3.32M","6.97%"
"11/24/2021","51,721.3","51,721.3","52,868.8","50,000.0","5.77M","3.44%"
"11/23/2021","50,000.0","49,672.1","53,114.7","49,672.1","16.11M","-6.30%"
"11/22/2021","53,360.6","57,377.0","58,524.6","53,360.6","12.44M","-7.00%"
"11/19/2021","57,377.0","62,295.1","62,295.1","55,082.0","10.03M","-2.64%"
"11/18/2021","58,934.4","56,557.4","58,934.4","55,819.7","6.19M","6.99%"
"11/17/2021","55,082.0","54,590.2","55,737.7","54,098.3","6.16M","0.30%"
"11/16/2021","54,918.0","54,262.3","57,213.1","53,524.6","11.81M","-1.47%"
"11/15/2021","55,737.7","58,852.4","61,885.2","54,098.3","15.06M","-4.09%"
"11/12/2021","58,114.7","55,000.0","58,114.7","54,508.2","8.07M","6.94%"
"11/11/2021","54,344.2","53,114.7","54,344.2","51,229.5","10.38M","6.94%"
"11/10/2021","50,819.7","49,180.3","50,819.7","48,360.6","7.64M","6.90%"
"11/09/2021","47,541.0","45,163.9","47,950.8","44,836.1","10.42M","4.32%"
"11/08/2021","45,573.8","45,573.8","46,721.3","44,754.1","8.98M","0.00%"
"11/05/2021","45,573.8","47,541.0","48,196.7","45,491.8","7.71M","-0.89%"
"11/04/2021","45,983.6","44,262.3","47,131.1","42,049.2","19.29M","3.51%"
"11/03/2021","44,426.2","50,983.6","50,983.6","44,426.2","27.98M","-6.87%"
"11/02/2021","47,704.9","46,721.3","47,704.9","46,721.3","5.15M","6.99%"
"11/01/2021","44,590.2","41,721.3","44,590.2","40,819.7","13.56M","6.88%"
"10/29/2021","41,721.3","40,901.6","42,459.0","40,573.8","13.24M","3.88%"
"10/28/2021","40,163.9","38,524.6","40,163.9","38,360.6","8.26M","6.06%"
